Stage,Monster_HP,Monster_Damage,Gold
1_0_0,3,1,3
1_0_1,3,1,5
1_0_2,3,1,7
1_0_3,4,2,9
1_0_4,10,3,11
1_0_5,17,5,13
1_0_6,18,8,15
1_0_7,36,13,17
1_0_8,40,16,19
1_0_9,50,17,21
1_1_0,53,18,23
1_1_1,56,19,25
1_1_2,59,20,27
1_1_3,62,21,29
1_1_4,65,22,31
1_1_5,68,23,33
1_1_6,71,24,35
1_1_7,74,25,37
1_1_8,77,26,39
1_1_9,80,27,41
1_2_0,83,28,43
1_2_1,86,29,45
1_2_2,89,30,47
1_2_3,92,31,49
1_2_4,95,32,51
1_2_5,98,33,53
1_2_6,101,34,55
1_2_7,104,35,57
1_2_8,107,36,59
1_2_9,110,37,61
1_3_0,113,38,63
1_3_1,116,39,65
1_3_2,119,40,67
1_3_3,122,41,69
1_3_4,125,42,71
1_3_5,128,43,73
1_3_6,131,44,75
1_3_7,134,45,77
1_3_8,137,46,79
1_3_9,140,47,81
1_4_0,143,48,83
1_4_1,146,49,85
1_4_2,149,50,87
1_4_3,152,51,89
1_4_4,155,52,91
1_4_5,158,53,93
1_4_6,161,54,95
1_4_7,164,55,97
1_4_8,167,56,99
1_4_9,170,57,101
1_5_0,173,58,103
1_5_1,176,59,105
1_5_2,179,60,107
1_5_3,182,61,109
1_5_4,185,62,111
1_5_5,188,63,113
1_5_6,191,64,115
1_5_7,194,65,117
1_5_8,197,66,119
1_5_9,200,67,122
2_0_0,350,68,125
2_0_1,354,69,128
2_0_2,358,70,131
2_0_3,362,71,134
2_0_4,366,72,137
2_0_5,370,73,140
2_0_6,374,74,143
2_0_7,378,75,146
2_0_8,382,76,149
2_0_9,386,77,152
2_1_0,390,78,155
2_1_1,394,79,158
2_1_2,398,80,161
2_1_3,402,81,164
2_1_4,406,82,167
2_1_5,410,83,170
2_1_6,414,84,173
2_1_7,418,85,176
2_1_8,422,86,179
2_1_9,426,87,182
2_2_0,430,88,185
2_2_1,434,89,188
2_2_2,438,90,191
2_2_3,442,91,194
2_2_4,446,92,197
2_2_5,450,93,200
2_2_6,454,94,203
2_2_7,458,95,206
2_2_8,462,96,209
2_2_9,466,97,212
2_3_0,470,98,215
2_3_1,474,99,218
2_3_2,478,100,221
2_3_3,482,101,224
2_3_4,486,102,227
2_3_5,490,103,230
2_3_6,494,104,233
2_3_7,498,105,236
2_3_8,502,106,239
2_3_9,506,107,242
2_4_0,510,108,245
2_4_1,514,109,248
2_4_2,518,110,251
2_4_3,522,111,254
2_4_4,526,112,257
2_4_5,530,113,260
2_4_6,534,114,263
2_4_7,538,115,266
2_4_8,542,116,269
2_4_9,546,117,272
2_5_0,550,118,275
2_5_1,554,119,278
2_5_2,558,120,281
