,speaker,dialogue
Stage5_Start_0,Boss,언제부터인가. 술냄새가 느껴지지 않았을 때가 있었지.
Stage5_Start_1,player,…
Stage5_Start_2,Boss,그땐 단순히 우연인 줄로만 알았어.
Stage5_Start_3,Boss,"난 술에 강하지만, 술에 약하기도 하니깐."
Stage5_Start_4,Boss,"하하, 모순적이지."
Stage5_Start_5,player,이제 다 해치웠어요.
Stage5_Start_6,Boss,뭐? 해치워?
Stage5_Start_7,player,내 위로. 나보다 더 잘 마시는 사람은 없다고요.
Stage5_Start_8,Boss,…그런가. 역시 그 분의 말대로군.
Stage5_Start_9,player,…!?
Stage5_Start_10,Boss,네게 보내는 초대장이 하나 있다.
Stage5_Start_11,Boss,"그걸 받고, 그곳으로 가라."
Stage5_Start_12,Boss,아직 너는 그 분을 이길 수 없다. 아직… 한참이나 부족해.
Stage5_Start_13,Boss,나와는 차원이 다른.
Stage5_Start_14,Boss,좀 더 고차원의 악마. '술의 악마'가 그곳에 있으니.
Stage5_Start_15,Boss,그곳에서 너의 이야기를 완성해봐.
Stage5_Start_16,player,(…그곳으로 가보자)
