,speaker,dialogue
Stage5_Start_0,player,"(빛이 눈을 가리며, 앞이 보이지 않는다.)"
Stage5_Start_1,Boss,선배! 선배! 선배! 선배!
Stage5_Start_2,player,(수많은 빛 뒤로 다양한 학생들의 응원 소리가 들려온다.)
Stage5_Start_3,Boss,"이곳이, 네 마지막."
Stage5_Start_4,Boss,나의 후배들을… 나의 친우들을…
Stage5_Start_5,Boss,"그 손으로 죽였다라, 가소롭군."
Stage5_Start_6,player,선배야말로! 나를 벌레보듯 하대한 게 선배 아니었나!
Stage5_Start_7,Boss,21살의 술력이라곤 믿기지 않았을 뿐이다만.
Stage5_Start_8,player,그게 거슬린다고! 그게!
Stage5_Start_9,Boss,아아. 그래서 이딴 하찮은 복수를 꿈꿔온 건가.
Stage5_Start_10,Boss,고작 그런 이유로 나와 맞서는 건가?
Stage5_Start_11,player,그래!!!
Stage5_Start_12,Boss,"좋군, 좋아."
Stage5_Start_13,Boss,소주 한 곽으로 시작해볼까나.
