,Tutorial_Dialogue
1,만나서 반갑다 김민지.
2,네가 나한테 술을 잘 먹는 방법을 알려달라 했었지?
3,"좋아, 그 눈빛."
4,제대로 알려주도록 하지.
5,첫 번째로 알려줄 건 바로 '스텟'이야.
6,한 번 공격력을 올려봐.
7,그게 네 힘을 키워주는 데에 도움을 줄 거야.
8,"공격력 이외에도 다양한 스텟이 있으니, 참고하도록."
9,그 다음은 묘기다.
10,묘기는 '다이아몬드'라는 특수한 재화를 사용하지.
11,다이아몬드는 '다이아 던전' 혹은 '보스'를 클리어 해야 얻을 수 있어.
12,지금은 아직 '보스'를 상대하긴 무리니…
13,한 번 '다이아 던전'을 들어가볼까?
14,좋아! 그렇다면 그 다이아를 기반으로 한 번 묘기를 해방해봐.
15,스킬은 위의 빈칸을 선택하여 사용할 수 있어.
16,"다만, 네가 쓸 수 있는 묘기는 딱 4개인 걸 기억하도록."
17,다음으로는 술과 안주다.
18,술은 널 매우 강력하게 만드는 버프를 줄 거야.
19,하지만 동시에 '간 수치'가 올라가지.
20,간 수치'가 일정 수준에 도달하면 너의 몸은 더 이상 버틸 수 없을 거야.
21,하지만 '안주'를 먹는다면 '간 수치'를 조금 완화할 수 있으니.
22,둘의 조화를 적절히 하는 게 좋을 거야.
23,참고로 일부 녀석들은 '술'을 먹지 않으면 패널티를 부여할 거야.
24,특히… '보스'라면 더더욱.
25,"네가 술을 마신 상대일지라도 새로운 술병을 까는 게 아니라면, 패널티를 피할 수 없을 거야."
26,그 점 기억하도록.
27,또한 술은 한 종류만 마시는 걸 추천하지.
28,두 종류의 술을 한 번에 먹었다간… 후 설명하기도 싫군.
29,끔찍한 시간을 보내게 될 거야.
30,마지막으로 아이템이다.
31,아이템은 네게 걸린 디버프나 술의 쿨타임을 줄이는 도구야.
32,효과가 좋지만 그만큼 가격은 매우 비싸지.
33,하지만 쿨타임은 존재하지 않아.
34,적절할 때 사용하는게 좋겠지?
35,이상으로 모든 설명을 마치마.
36,이제 남은 건 너 스스로가 단련하는 거야.
37,"보여줘, 네가 어떤 녀석인지. 얼마나 독한지."
38,…그 어떤 시련이 다가와도.
39,망설이지 마.
